Nom,Année de naissance ,Année de premiere election,Groupe,Circonscription,Série,genre
Michel Mercier,1947,1995,UDI-UC,Rhône,2,M
Michelle Meunier,1956,2011,SOC,Loire-Atlantique,1,F
Jacques Mézard,1947,2008,RDSE,Cantal,2,M
Danielle Michel,1947,2011,SOC,Landes,1,F
Brigitte Micouleau,1951,2014,UMP,Haute-Garonne,2,F
Alain Milon,1947,2004,UMP,Vaucluse,2,M
Gérard Miquel,1946,1992,SOC,Lot,1,M
Thani Mohamed Soilihi,1972,2011,SOC,Mayotte,1,M
Marie-Pierre Monier,1958,2014,SOC,Drôme,2,M
Franck Montaugé,1961,2014,SOC,Gers,2,M
Aymeri de Montesquiou,1942,2008,UDI-UC,Gers,2,M
Albéric de Montgolfier,1964,2008,UMP,Eure-et-Loir,2,M
Patricia Morhet-Richaud,1961,2014,UMP,Hautes-Alpes,2,F
Catherine Morin-Desailly,1960,2004,UDI-UC,Seine-Maritime,2,F
Jean-Marie Morisset,1947,2014,UMP,Deux-Sèvres,2,M
Philippe Mouiller,1969,2014,UMP,Deux-Sèvres,2,M
Philippe Nachbar,1950,1992,UMP,Meurthe-et-Moselle,1,M
Christian Namy,1938,2011,UDI-UC,Meuse,1,M
Robert Navarro,1952,2008,RASNAG,Hérault,2,M
Louis Nègre,1947,2008,UMP,Alpes-Maritimes,2,M
Alain Néri,1942,2011,SOC,Puy-de-Dôme,1,M
Louis-Jean de Nicolaÿ,1949,2014,UMP,Sarthe,2,M
Claude Nougein,1946,2014,UMP,Corrèze,2,M
Jean-Jacques Panunzi,1956,2014,app. UMP,Corse-du-Sud,2,M
Georges Patient,1949,2008,app. SOC,Guyane,2,M
François Patriat,1943,2008,SOC,Côte-d'Or,2,M
Philippe Paul,1965,2008,UMP,Finistère,2,M
Cyril Pellevat,1981,2014,UMP,Haute-Savoie,2,M
Daniel Percheron,1942,1983,SOC,Pas-de-Calais,1,M
Marie-Françoise Pérol-Dumont,1952,2014,SOC,Haute-Vienne,2,F
Cédric Perrin,1974,2014,UMP,Territoire de Belfort,2,M
Jackie Pierre,1946,2004,UMP,Vosges,2,M
François Pillet,1950,2007,app. UMP,Cher,2,M
Xavier Pintat,1954,1998,UMP,Gironde,2,M
Louis Pinton,1948,2007,UMP,Indre,2,M
Jean-Vincent Placé,1968,2011,ÉCOLO,Essonne,1,M
Hervé Poher,1952,2013,SOC,Pas-de-Calais,1,M
Rémy Pointereau,1953,2005,UMP,Cher,2,M
Ladislas Poniatowski,1946,1998,app. UMP,Eure,2,M
Hugues Portelli,1947,2004,UMP,Val-d'Oise,1,M
Yves Pozzo di Borgo,1948,2004,UDI-UC,Paris,1,M
Sophie Primas,1962,2011,UMP,Yvelines,1,F
Catherine Procaccia,1949,2004,UMP,Val-de-Marne,1,F
Christine Prunaud,1950,2014,CRC,Côtes-d'Armor,2,F
David Rachline,1987,2014,RASNAG,Var,2,M
Jean-Pierre Raffarin,1948,1995,UMP,Vienne,2,M
Henri de Raincourt,1948,1986,UMP,Yonne,2,M
Michel Raison,1949,2014,UMP,Haute-Saône,2,M
Daniel Raoul,1941,2001,SOC,Maine-et-Loire,1,M
Stéphane Ravier,1969,2014,RASNAG,Bouches-du-Rhône,2,M
Claude Raynal,1957,2014,SOC,Haute-Garonne,2,M
André Reichardt,1949,2010,UMP,Bas-Rhin,2,M
Daniel Reiner,1941,2001,SOC,Meurthe-et-Moselle,1,M
Jean-Claude Requier,1947,2011,RDSE,Lot,1,M
Bruno Retailleau,1960,2004,UMP,Vendée,2,M
Charles Revet,1937,1995,UMP,Seine-Maritime,2,M
Alain Richard,1945,1995,SOC,Val-d'Oise,1,M
Stéphanie Riocreux,1966,2011,SOC,Indre-et-Loire,1,M
Didier Robert,1964,2014,UMP,La Réunion,1,M
Sylvie Robert,1963,2014,SOC,Ille-et-Vilaine,2,F
Gérard Roche,1942,2011,UDI-UC,Haute-Loire,1,M
Gilbert Roger,1953,2011,SOC,Seine-Saint-Denis,1,M
Yves Rome,1950,2011,SOC,Oise,1,M
Jean-Yves Roux,1970,2014,SOC,Alpes-de-Haute-Provence,2,M
Bernard Saugey,1943,2001,UMP,Isère,1,M
René-Paul Savary,1953,2011,UMP,Marne,1,M
Michel Savin,1958,2011,UMP,Isère,1,M
Patricia Schillinger,1963,2004,SOC,Haut-Rhin,2,F
Bruno Sido,1951,2001,UMP,Haute-Marne,1,M
Abdourahamane Soilihi,1959,2011,UMP,Mayotte,1,M
Jean-Pierre Sueur,1947,2001,SOC,Loiret,1,M
Simon Sutour,1952,1998,SOC,Gard,2,M
Henri Tandonnet,1949,2011,UDI-UC,Lot-et-Garonne,1,M
Catherine Tasca,1941,2004,SOC,Yvelines,1,F
Lana Tetuanui,1970,2015,UDI-UC,Polynésie française,2,F
Nelly Tocqueville,1950,2014,SOC,Seine-Maritime,2,M
Jean-Louis Tourenne,1944,2014,SOC,Ille-et-Vilaine,2,M
André Trillard,1947,2001,UMP,Loire-Atlantique,1,M
Catherine Troendlé,1961,2004,UMP,Haut-Rhin,2,F
Alex Türk,1950,1992,RASNAG,Nord,1,M
René Vandierendonck,1951,2011,SOC,Nord,1,M
